
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
-------------------------------------------------------------------------------------------------------------------
input_ids                                                                                                     0.000
__module.model.embed_tokens/ov_ext::embedding/Convert_1                                                       0.005
__module.model.embed_tokens/ov_ext::embedding/Gather                                                          0.251
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1                                                  0.162
ShapeOf_30092                                                                                                 0.001
Gather_30095                                                                                                  0.000
Concat_50645                                                                                                  0.003
Broadcast_50648                                                                                               0.002
ReadValue_50269                                                                                               0.004
ReadValue_50207                                                                                               0.003
ReadValue_50209                                                                                               0.002
ReadValue_50211                                                                                               0.002
ReadValue_50213                                                                                               0.003
ReadValue_50239                                                                                               0.002
ReadValue_50241                                                                                               0.002
ReadValue_50243                                                                                               0.002
ReadValue_50245                                                                                               0.002
ReadValue_50247                                                                                               0.002
ReadValue_50249                                                                                               0.002
ReadValue_50251                                                                                               0.002
ReadValue_50253                                                                                               0.002
ReadValue_50255                                                                                               0.002
ReadValue_50257                                                                                               0.001
ReadValue_50259                                                                                               0.002
ReadValue_50261                                                                                               0.002
ReadValue_50263                                                                                               0.001
ReadValue_50265                                                                                               0.001
ReadValue_50267                                                                                               0.002
ReadValue_50237                                                                                               0.002
ReadValue_50215                                                                                               0.003
ReadValue_50217                                                                                               0.002
ReadValue_50219                                                                                               0.002
ReadValue_50221                                                                                               0.001
ReadValue_50223                                                                                               0.002
ReadValue_50225                                                                                               0.002
ReadValue_50227                                                                                               0.002
ReadValue_50229                                                                                               0.002
ReadValue_50231                                                                                               0.002
ReadValue_50233                                                                                               0.002
ReadValue_50235                                                                                               0.001
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul                                                1.940
__module.model.layers.0.self_attn/aten::view/Reshape                                                          0.001
__module.model.rotary_emb/prim::ListConstruct                                                                 0.001
Broadcast_36134                                                                                               0.001
__module.model.rotary_emb/aten::expand/Broadcast                                                              0.004
position_ids                                                                                                  0.000
Convert_34727                                                                                                 0.003
__module.model.rotary_emb/aten::unsqueeze/Unsqueeze_2                                                         0.000
__module.model.rotary_emb/aten::to/Convert_3                                                                  0.002
__module.model.rotary_emb/aten::matmul/MatMul                                                                 0.021
__module.model.rotary_emb/aten::transpose/Transpose                                                           0.008
__module.model.rotary_emb/aten::cat/Concat                                                                    0.004
__module.model.rotary_emb/aten::cos/Cos                                                                       0.034
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze                                                   0.000
__module.model.rotary_emb/aten::sin/Sin                                                                       0.029
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_1                                                 0.000
__module.model.layers.0.self_attn/aten::add/Add                                                               0.222
__module.model.layers.0.self_attn.k_proj/ov_ext::linear/MatMul                                                0.475
__module.model.layers.0.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.0.self_attn/aten::add/Add_1                                                             0.058
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul                                                0.471
__module.model.layers.0.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.0.self_attn/aten::transpose/Transpose_2                                                 0.035
Gather_30103                                                                                                  0.000
ShapeOf_30110                                                                                                 0.001
Gather_30113                                                                                                  0.000
__module.model/aten::add/Add_1                                                                                0.003
__module.model/aten::arange/Range_1                                                                           0.004
__module.model/aten::unsqueeze/Unsqueeze_2                                                                    0.000
__module.model/aten::add/Add                                                                                  0.000
__module.model/aten::arange/Range                                                                             0.004
__module.model/aten::unsqueeze/Unsqueeze_5                                                                    0.000
attention_mask                                                                                                0.000
Convert_34957                                                                                                 0.003
Abs_34958                                                                                                     0.003
Clamp_34959                                                                                                   0.000
__module.model/aten::to/Convert_1                                                                             0.002
ShapeOf_34961                                                                                                 0.000
__module.model/aten::index/ReduceProd                                                                         0.004
__module.model/aten::index/Concat                                                                             0.000
__module.model/aten::index/Reshape                                                                            0.000
Squeeze_30114                                                                                                 0.000
__module.model/aten::arange/Range_2                                                                           0.004
__module.model/aten::unsqueeze/Unsqueeze_8                                                                    0.000
__module.model/aten::index/Split                                                                              0.000
__module.model/aten::index/Multiply                                                                           0.005
__module.model/aten::index/Add                                                                                0.000
__module.model/aten::index/Gather                                                                             0.007
__module.model/aten::index/Reshape_8                                                                          0.000
ShapeOf_35014                                                                                                 0.000
__module.model/aten::index/Reshape_12                                                                         0.000
Reshape_30118                                                                                                 0.000
Unsqueeze_209                                                                                                 0.000
__module.model/prim::ListConstruct                                                                            0.002
Broadcast_36140                                                                                               0.001
__module.model/aten::le/LessEqual                                                                             0.016
__module.model/aten::__and__/BitwiseAnd                                                                       0.000
__module.model/aten::__and__/BitwiseAnd_1                                                                     0.000
__module.model/aten::expand/Broadcast                                                                         0.000
__module.model/aten::where/Select                                                                             0.000
Reshape_30122                                                                                                 0.000
Add_44527                                                                                                     0.001
__module.model.layers.0.self_attn/aten::slice/Slice_15                                                        0.002
beam_idx                                                                                                      0.000
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.504
__module.model.layers.0.self_attn/aten::transpose/Transpose_3                                                 0.064
__module.model.layers.0.self_attn/aten::reshape/Reshape_2                                                     0.000
__module.model.layers.0.self_attn.o_proj/ov_ext::linear/MatMul                                                1.750
__module.model.layers.0/aten::add/Add                                                                         0.057
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.044
__module.model.layers.0.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul                                                     7.209
__module.model.layers.0.mlp/aten::mul/Multiply                                                                0.545
