
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
-------------------------------------------------------------------------------------------------------------------
input_ids                                                                                                     0.007
__module.model.embed_tokens/ov_ext::embedding/Convert_1                                                       0.012
__module.model.embed_tokens/ov_ext::embedding/Gather                                                          0.131
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1                                                  0.163
ShapeOf_33705                                                                                                 0.005
Gather_33708                                                                                                  0.005
Concat_50645                                                                                                  0.006
Broadcast_50648                                                                                               0.005
ReadValue_50269                                                                                               0.011
ReadValue_50207                                                                                               0.009
ReadValue_50209                                                                                               0.010
ReadValue_50211                                                                                               0.011
ReadValue_50213                                                                                               0.009
ReadValue_50239                                                                                               0.009
ReadValue_50241                                                                                               0.009
ReadValue_50243                                                                                               0.009
ReadValue_50245                                                                                               0.009
ReadValue_50247                                                                                               0.009
ReadValue_50249                                                                                               0.009
ReadValue_50251                                                                                               0.008
ReadValue_50253                                                                                               0.009
ReadValue_50255                                                                                               0.009
ReadValue_50257                                                                                               0.009
ReadValue_50259                                                                                               0.009
ReadValue_50261                                                                                               0.009
ReadValue_50263                                                                                               0.009
ReadValue_50265                                                                                               0.011
ReadValue_50267                                                                                               0.009
ReadValue_50237                                                                                               0.009
ReadValue_50215                                                                                               0.009
ReadValue_50217                                                                                               0.008
ReadValue_50219                                                                                               0.009
ReadValue_50221                                                                                               0.009
ReadValue_50223                                                                                               0.009
ReadValue_50225                                                                                               0.008
ReadValue_50227                                                                                               0.009
ReadValue_50229                                                                                               0.008
ReadValue_50231                                                                                               0.008
ReadValue_50233                                                                                               0.008
ReadValue_50235                                                                                               0.008
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.117
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fq_output_0                0.000
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul                                                1.154
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul/DequantizationSubtract                         0.000
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul/DequantizationMultiply                         0.000
__module.model.layers.0.self_attn/aten::view/Reshape                                                          0.008
__module.model.rotary_emb/prim::ListConstruct                                                                 0.006
Broadcast_51145                                                                                               0.006
__module.model.rotary_emb/aten::expand/Broadcast                                                              0.008
position_ids                                                                                                  0.005
Convert_38691                                                                                                 0.007
__module.model.rotary_emb/aten::unsqueeze/Unsqueeze_2                                                         0.005
__module.model.rotary_emb/aten::to/Convert_3                                                                  0.007
__module.model.rotary_emb/aten::matmul/MatMul                                                                 0.021
__module.model.rotary_emb/aten::transpose/Transpose                                                           0.011
__module.model.rotary_emb/aten::cat/Concat                                                                    0.008
__module.model.rotary_emb/aten::cos/Cos                                                                       0.029
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze                                                   0.005
__module.model.rotary_emb/aten::sin/Sin                                                                       0.028
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_1                                                 0.005
__module.model.layers.0.self_attn/aten::add/Add                                                               0.204
__module.model.layers.0.self_attn/aten::add/Add_bf16_abcd_f32_aBcd16b___module.model.layers.0.self_attn/aten::add/Add/fq_output_0          0.294
__module.model.layers.0.self_attn/aten::add/Add/fq_output_0                                                   0.057
__module.model.layers.0.self_attn/aten::add/Add/fq_output_0_aBcd16b_abcd_MatMul_34707                         0.078
beam_idx                                                                                                      0.005
Gather_49751                                                                                                  0.005
__module.model.layers.0.self_attn.k_proj/ov_ext::linear/MatMul                                                0.247
__module.model.layers.0.self_attn.k_proj/ov_ext::linear/MatMul/DequantizationSubtract                         0.000
__module.model.layers.0.self_attn.k_proj/ov_ext::linear/MatMul/DequantizationMultiply                         0.000
__module.model.layers.0.self_attn/aten::view/Reshape_1                                                        0.006
__module.model.layers.0.self_attn/aten::add/Add_1                                                             0.053
__module.model.layers.0.self_attn/aten::cat/Concat_2                                                          0.044
__module.model.layers.0.self_attn/aten::cat/Concat_2_bf16_abcd_f32_aBcd16b___module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_2/fq_input_0          0.039
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_2/fq_input_0                                      0.028
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_2/fq_input_0_aBcd16b_abcd___module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_2          0.040
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.005
__module.model.layers.0.self_attn/aten::size/ShapeOf_2                                                        0.005
Gather_39482                                                                                                  0.007
ShapeOf_33721                                                                                                 0.005
Gather_33724                                                                                                  0.004
Reshape_33741                                                                                                 0.005
Gather_33728                                                                                                  0.004
Reshape_33733                                                                                                 0.005
Add_44527                                                                                                     0.006
__module.model.layers.0.self_attn/prim::ListConstruct_2                                                       0.005
Broadcast_51151                                                                                               0.065
__module.model.layers.0.self_attn/aten::expand/Broadcast                                                      0.064
__module.model.layers.0.self_attn/aten::reshape/Reshape                                                       0.006
MatMul_34707                                                                                                  0.472
Multiply_42027                                                                                                0.000
__module.model/aten::add/Add_1                                                                                0.007
__module.model/aten::arange/Range_1                                                                           0.008
__module.model/aten::unsqueeze/Unsqueeze_2                                                                    0.005
__module.model/aten::add/Add                                                                                  0.005
__module.model/aten::arange/Range                                                                             0.006
__module.model/aten::unsqueeze/Unsqueeze_5                                                                    0.005
attention_mask                                                                                                0.004
Convert_39023                                                                                                 0.007
Abs_39024                                                                                                     0.005
Clamp_40171                                                                                                   0.000
__module.model/aten::to/Convert_1                                                                             0.006
ShapeOf_39027                                                                                                 0.005
__module.model/aten::index/ReduceProd                                                                         0.008
__module.model/aten::index/Concat                                                                             0.011
__module.model/aten::index/Reshape                                                                            0.005
Squeeze_33729                                                                                                 0.005
__module.model/aten::arange/Range_2                                                                           0.006
__module.model/aten::unsqueeze/Unsqueeze_8                                                                    0.005
__module.model/aten::index/Split                                                                              0.005
__module.model/aten::index/Multiply                                                                           0.005
__module.model/aten::index/Add                                                                                0.000
__module.model/aten::index/Gather                                                                             0.007
__module.model/aten::index/Reshape_8                                                                          0.005
ShapeOf_39080                                                                                                 0.005
__module.model/aten::index/Reshape_12                                                                         0.004
Unsqueeze_209                                                                                                 0.004
__module.model/prim::ListConstruct                                                                            0.005
Broadcast_51185                                                                                               0.005
__module.model/aten::le/LessEqual                                                                             0.016
__module.model/aten::__and__/BitwiseAnd                                                                       0.000
__module.model/aten::__and__/BitwiseAnd_1                                                                     0.000
__module.model/aten::expand/Broadcast                                                                         0.000
__module.model/aten::where/Select                                                                             0.000
__module.model.layers.0.self_attn/aten::slice/Slice_15                                                        0.008
Add_40174                                                                                                     0.153
Multiply_42029                                                                                                0.000
Softmax_34710                                                                                                 0.553
Gather_49754                                                                                                  0.007
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul                                                0.229
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul/DequantizationSubtract                         0.000
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul/DequantizationMultiply                         0.000
__module.model.layers.0.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.0.self_attn/aten::transpose/Transpose_2                                                 0.018
__module.model.layers.0.self_attn/aten::cat/Concat_3                                                          0.039
__module.model.layers.0.self_attn/aten::cat/Concat_3_____module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_3          0.014
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_51209                                                                                               0.253
Broadcast_51209_f32_bf16___module.model.layers.0.self_attn/aten::expand/Broadcast_1                           0.151
__module.model.layers.0.self_attn/aten::expand/Broadcast_1                                                    0.168
__module.model.layers.0.self_attn/aten::reshape/Reshape_1                                                     0.006
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.139
__module.model.layers.0.self_attn/aten::transpose/Transpose_3                                                 0.043
__module.model.layers.0.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.0.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant                               0.052
__module.model.layers.0.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant/fq_output_0                   0.000
__module.model.layers.0.self_attn.o_proj/ov_ext::linear/MatMul                                                0.925
Subtract_42090                                                                                                0.000
Multiply_42091                                                                                                0.000
__module.model.layers.0/aten::add/Add                                                                         0.088
Multiply_42093                                                                                                0.055
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                   0.080
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant_bf16_f32___module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fq_output_0          0.151
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fq_output_0          0.046
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul                                                   4.425
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul/DequantizationSubtract                            0.000
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul/DequantizationMultiply                            0.000
__module.model.layers.0.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul                                                     4.351
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul/DequantizationSubtract                              0.000
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul/DequantizationMultiply                              0.000
__module.model.layers.0.mlp/aten::mul/Multiply                                                                0.316
__module.model.layers.0.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant                                          0.000
__module.model.layers.0.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant/fq_output_0                              0.000
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul                                                   3.791
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul/DequantizationSubtract                            0.000
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul/DequantizationMultiply                            0.000
Multiply_42188                                                                                                0.073
__module.model.layers.0/aten::add/Add_1                                                                       0.000
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.050
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant_bf16_f32___module.model.layers.1.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fq_output_0          0.046
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fq_output_0                0.041
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul                                                0.885
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul/DequantizationSubtract                         0.000
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul/DequantizationMultiply                         0.000
__module.model.layers.1.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.1.self_attn/aten::add/Add                                                               0.142
__module.model.layers.1.self_attn/aten::add/Add_bf16_abcd_f32_aBcd16b___module.model.layers.1.self_attn/aten::add/Add/fq_output_0          0.338
__module.model.layers.1.self_attn/aten::add/Add/fq_output_0                                                   0.079
__module.model.layers.1.self_attn/aten::add/Add/fq_output_0_aBcd16b_abcd_MatMul_34742                         0.074
Gather_49757                                                                                                  0.005
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul                                                0.238
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul/DequantizationSubtract                         0.000
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul/DequantizationMultiply                         0.000
__module.model.layers.1.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.1.self_attn/aten::add/Add_1                                                             0.036
__module.model.layers.1.self_attn/aten::cat/Concat_2                                                          0.071
