
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
-------------------------------------------------------------------------------------------------------------------
input_ids                                                                                                     0.008
__module.model.embed_tokens/ov_ext::embedding/Convert_1                                                       0.010
__module.model.embed_tokens/ov_ext::embedding/Gather                                                          0.177
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1                                                  0.112
ShapeOf_30237                                                                                                 0.008
Gather_30240                                                                                                  0.005
Concat_50645                                                                                                  0.008
Broadcast_50648                                                                                               0.006
ReadValue_50269                                                                                               0.015
ReadValue_50207                                                                                               0.015
ReadValue_50209                                                                                               0.014
ReadValue_50211                                                                                               0.010
ReadValue_50213                                                                                               0.013
ReadValue_50239                                                                                               0.014
ReadValue_50241                                                                                               0.014
ReadValue_50243                                                                                               0.013
ReadValue_50245                                                                                               0.011
ReadValue_50247                                                                                               0.009
ReadValue_50249                                                                                               0.010
ReadValue_50251                                                                                               0.009
ReadValue_50253                                                                                               0.011
ReadValue_50255                                                                                               0.012
ReadValue_50257                                                                                               0.013
ReadValue_50259                                                                                               0.015
ReadValue_50261                                                                                               0.012
ReadValue_50263                                                                                               0.012
ReadValue_50265                                                                                               0.011
ReadValue_50267                                                                                               0.010
ReadValue_50237                                                                                               0.009
ReadValue_50215                                                                                               0.011
ReadValue_50217                                                                                               0.010
ReadValue_50219                                                                                               0.011
ReadValue_50221                                                                                               0.009
ReadValue_50223                                                                                               0.011
ReadValue_50225                                                                                               0.010
ReadValue_50227                                                                                               0.011
ReadValue_50229                                                                                               0.009
ReadValue_50231                                                                                               0.010
ReadValue_50233                                                                                               0.009
ReadValue_50235                                                                                               0.011
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.129
Multiply_43926                                                                                                0.000
Clamp_43928                                                                                                   0.000
Convert_43929                                                                                                 0.126
Convert_43930                                                                                                 0.065
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0                0.104
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul                                                1.468
__module.model.layers.0.self_attn/aten::view/Reshape                                                          0.009
__module.model.rotary_emb/prim::ListConstruct                                                                 0.007
Broadcast_36483                                                                                               0.007
__module.model.rotary_emb/aten::expand/Broadcast                                                              0.009
position_ids                                                                                                  0.004
Convert_35137                                                                                                 0.008
__module.model.rotary_emb/aten::unsqueeze/Unsqueeze_2                                                         0.004
__module.model.rotary_emb/aten::to/Convert_3                                                                  0.007
__module.model.rotary_emb/aten::matmul/MatMul                                                                 0.020
__module.model.rotary_emb/aten::transpose/Transpose                                                           0.010
