seqlen,a8w8,f8e4m3,nvfp4,WOi4,WOi8,WOmxfp4,WOnf4
1,12.46,6.52,9.1,8.14,6.53,7.91,9.6
2,24.85,13.0,13.32,11.54,11.54,12.6,13.81
4,49.1,25.59,19.34,18.25,20.17,19.95,20.34
8,96.63,50.06,36.13,38.76,34.56,29.78,37.13
16,183.13,96.17,61.53,68.71,64.51,53.33,63.11
32,290.55,155.05,109.52,127.38,122.54,98.7,113.95
64,426.82,234.79,179.73,190.84,188.5,152.62,185.31
128,456.74,289.07,253.22,252.8,265.74,235.31,267.02
256,505.09,292.83,259.78,267.12,273.8,240.79,271.94
512,499.33,290.17,261.0,277.19,278.39,257.21,279.3
1024,402.67,262.56,230.51,267.4,270.4,258.07,269.3
2048,289.27,212.19,185.68,240.47,233.88,233.61,238.35
4096,176.25,146.15,129.31,190.72,192.17,187.4,189.42
8192,99.1,82.8,80.94,125.3,119.79,113.23,124.88
16384,44.03,38.42,37.27,69.97,70.11,70.11,70.04
