
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
-------------------------------------------------------------------------------------------------------------------
input_ids                                                                                                     0.006
__module.model.embed_tokens/ov_ext::embedding/Convert_1                                                       0.010
__module.model.embed_tokens/ov_ext::embedding/Gather                                                          0.119
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1                                                  0.053
ShapeOf_30540                                                                                                 0.006
Gather_30543                                                                                                  0.005
Concat_50645                                                                                                  0.007
Broadcast_50648                                                                                               0.007
ReadValue_50269                                                                                               0.009
ReadValue_50207                                                                                               0.006
ReadValue_50209                                                                                               0.007
ReadValue_50211                                                                                               0.006
ReadValue_50213                                                                                               0.005
ReadValue_50239                                                                                               0.006
ReadValue_50241                                                                                               0.007
ReadValue_50243                                                                                               0.006
ReadValue_50245                                                                                               0.006
ReadValue_50247                                                                                               0.006
ReadValue_50249                                                                                               0.007
ReadValue_50251                                                                                               0.006
ReadValue_50253                                                                                               0.006
ReadValue_50255                                                                                               0.006
ReadValue_50257                                                                                               0.005
ReadValue_50259                                                                                               0.006
ReadValue_50261                                                                                               0.006
ReadValue_50263                                                                                               0.006
ReadValue_50265                                                                                               0.005
ReadValue_50267                                                                                               0.006
ReadValue_50237                                                                                               0.006
ReadValue_50215                                                                                               0.006
ReadValue_50217                                                                                               0.005
ReadValue_50219                                                                                               0.005
ReadValue_50221                                                                                               0.005
ReadValue_50223                                                                                               0.006
ReadValue_50225                                                                                               0.006
ReadValue_50227                                                                                               0.006
ReadValue_50229                                                                                               0.006
ReadValue_50231                                                                                               0.006
ReadValue_50233                                                                                               0.006
ReadValue_50235                                                                                               0.005
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul                                                2.073
__module.model.layers.0.self_attn/aten::view/Reshape                                                          0.008
__module.model.rotary_emb/prim::ListConstruct                                                                 0.006
Broadcast_36582                                                                                               0.007
__module.model.rotary_emb/aten::expand/Broadcast                                                              0.010
position_ids                                                                                                  0.005
Convert_35175                                                                                                 0.008
__module.model.rotary_emb/aten::unsqueeze/Unsqueeze_2                                                         0.005
__module.model.rotary_emb/aten::to/Convert_3                                                                  0.006
__module.model.rotary_emb/aten::matmul/MatMul                                                                 0.018
__module.model.rotary_emb/aten::transpose/Transpose                                                           0.013
__module.model.rotary_emb/aten::cat/Concat                                                                    0.008
__module.model.rotary_emb/aten::cos/Cos                                                                       0.033
