seqlen,a8w8,f8e4m3,nf4,WOi4,WOi8,WOmxfp4,WOnf4
1,12.42,6.53,8.82,8.12,6.58,7.9,9.47
2,24.86,13.06,13.38,11.54,11.63,12.42,13.85
4,48.85,25.6,19.33,18.18,20.24,19.68,20.36
8,95.23,50.17,36.1,39.18,34.48,32.67,37.07
16,183.8,96.0,61.82,68.72,64.66,55.6,63.53
32,292.51,155.12,110.06,127.63,122.46,101.5,112.99
64,428.32,237.62,177.54,183.11,189.61,151.97,186.45
128,459.36,288.72,251.74,254.03,267.49,232.48,270.57
256,506.0,292.68,258.41,266.59,273.8,237.84,274.75
512,497.85,289.65,258.42,277.13,279.9,255.75,279.78
1024,404.3,261.69,229.62,267.75,270.37,256.32,268.5
2048,290.7,213.52,187.4,240.73,241.55,233.6,238.65
4096,177.84,145.32,129.18,189.42,192.11,186.13,187.81
8192,99.36,84.36,80.17,124.68,125.66,124.1,124.44
16384,44.8,39.22,38.25,69.89,66.92,69.82,69.54
