seqlen,a8w8,f8e4m3,nf4,WOi4,WOi8,WOmxfp4,WOnf4
1,12.43,6.56,8.87,8.56,6.61,7.89,9.49
2,24.9,13.05,13.42,11.79,11.49,12.6,13.9
4,49.25,25.68,19.42,18.08,20.37,19.88,20.4
8,96.56,50.18,35.7,38.69,34.68,30.13,37.62
16,183.35,95.81,62.13,68.63,65.48,54.38,64.0
32,289.59,155.95,110.88,127.7,122.69,100.13,114.78
64,426.19,237.23,178.61,187.99,187.97,152.25,184.43
128,457.97,289.06,251.15,255.42,265.67,229.38,268.36
256,508.33,293.55,258.31,266.52,274.34,235.68,272.48
384,505.85,292.22,261.09,274.64,277.05,252.26,277.32
512,498.96,291.03,259.95,279.55,275.97,255.78,280.35
640,475.59,283.9,254.31,277.87,277.96,257.05,279.01
768,449.12,277.14,240.25,276.02,278.04,260.67,276.37
896,259.47,270.21,236.29,274.24,274.37,258.99,271.32
1024,404.17,263.13,229.98,268.77,269.64,256.72,268.11
1152,382.11,254.87,222.55,266.75,269.9,256.5,266.31
1280,365.56,248.42,216.12,263.79,264.07,252.36,260.93
1408,347.73,241.64,209.73,259.16,261.06,251.35,256.87
1536,339.36,236.92,205.71,254.43,256.87,245.62,253.44
1664,322.37,228.32,200.15,253.77,254.54,245.11,211.45
1792,312.59,222.82,198.25,250.82,165.55,207.05,247.38
1920,301.57,217.71,193.66,248.3,248.71,239.77,246.21
2048,290.8,211.5,188.8,240.23,241.57,232.87,237.83
2176,282.56,207.1,185.15,240.76,241.37,233.49,236.49
2304,273.7,202.55,181.68,237.31,237.83,229.93,234.54
2432,260.16,196.59,175.14,234.92,234.9,226.4,232.06
2560,255.28,192.13,173.06,228.75,228.88,220.12,225.28
2688,244.14,187.55,165.96,227.91,227.58,221.32,225.13
2816,240.73,183.77,164.69,223.67,223.92,217.73,221.8
2944,230.11,180.09,160.96,221.98,221.88,215.55,219.55
3072,226.48,175.6,156.98,215.42,216.52,208.61,212.68
3200,219.77,173.82,155.28,216.07,216.83,211.28,213.64
3328,212.47,171.23,152.88,212.51,211.78,206.5,206.65
3456,208.64,167.38,148.71,210.08,210.39,205.62,207.25
3584,202.99,165.08,146.8,202.99,204.45,198.56,201.91
3712,196.74,160.56,145.0,203.86,205.73,200.59,198.54
3840,188.04,158.36,139.6,200.87,200.26,196.59,197.9
3968,185.77,154.62,135.9,198.55,199.28,192.68,197.75
4096,176.11,145.76,129.7,190.38,191.11,185.84,188.72
4224,176.46,142.42,133.51,192.2,191.33,188.38,188.87
4352,174.79,146.35,130.02,187.34,187.03,184.98,185.19
4480,168.7,116.53,129.86,186.31,185.4,183.26,185.6
4608,166.27,137.64,124.6,181.42,182.41,178.76,179.19
4736,162.01,133.95,124.79,185.28,184.05,177.62,182.25
4864,159.92,132.3,123.7,180.89,182.57,179.7,180.9
4992,156.39,130.52,122.14,182.66,183.14,176.14,181.5
5120,153.49,128.45,116.85,173.2,172.7,172.96,172.81
5248,144.97,120.08,115.28,177.49,177.38,175.01,175.12
5376,147.88,126.77,117.46,173.03,174.46,171.45,170.72
5504,143.93,120.67,112.32,173.05,173.35,142.07,170.4
5632,138.78,119.65,109.67,165.83,167.65,165.01,165.71
5760,138.13,118.11,108.45,166.97,168.14,165.39,165.36
5888,135.1,113.69,105.72,162.16,163.73,161.91,162.04
6016,130.88,112.35,103.73,147.3,157.86,161.01,160.38
6144,131.08,111.29,103.6,155.0,155.9,152.91,154.45
6272,128.74,110.8,102.44,157.04,158.0,155.91,156.29
6400,128.18,106.86,101.52,153.43,154.9,151.92,152.19
6528,126.15,106.56,99.5,152.6,154.15,130.94,131.38
6656,114.56,104.0,98.79,147.91,148.23,146.05,147.28
6784,120.91,101.93,97.16,148.44,148.87,147.03,147.83
6912,120.01,100.27,96.22,144.8,145.74,133.02,143.64
7040,114.88,98.56,94.55,144.2,144.86,142.48,143.3
7168,117.63,97.36,93.12,139.12,138.44,136.12,137.74
7296,112.46,96.93,91.98,140.88,141.45,139.34,139.55
7424,110.67,91.71,82.61,136.39,138.19,135.51,136.04
7552,110.03,95.62,89.92,136.31,137.2,133.45,135.86
7680,108.22,94.24,89.22,131.87,132.48,130.98,130.7
7808,104.18,91.4,87.32,132.32,133.63,132.04,131.77
7936,99.37,89.98,86.91,129.98,130.56,129.84,129.86
8064,99.83,88.07,85.45,124.03,130.3,128.1,120.74
8192,93.65,82.6,79.71,124.47,125.89,123.71,124.24
8320,99.85,84.99,83.63,126.22,127.12,125.91,125.98
8448,96.77,84.52,83.1,124.41,124.56,123.94,123.66
8576,93.84,82.93,79.44,123.76,125.0,122.94,123.27
8704,94.66,83.16,80.38,120.6,119.97,119.07,119.6
8832,94.33,81.97,79.61,120.8,112.65,119.64,120.17
8960,87.39,81.02,78.14,118.29,119.28,118.65,119.14
9088,92.04,78.79,76.88,118.08,118.39,117.68,115.34
9216,90.83,78.53,75.19,114.79,114.76,113.61,113.73
9344,85.39,68.92,74.48,115.82,116.09,114.34,115.76
9472,88.28,75.12,73.09,113.94,114.26,112.78,113.79
9600,85.65,74.65,72.37,113.72,114.36,99.7,113.4
9728,83.18,73.77,72.77,109.95,110.8,109.82,109.25
9856,82.78,71.05,70.39,111.63,111.8,110.64,110.92
9984,81.55,72.72,69.29,108.92,109.92,108.22,100.48
10112,79.03,71.0,67.72,109.19,110.05,108.02,108.37
10240,80.76,66.65,66.31,104.8,102.4,100.36,104.33
10368,76.41,69.47,68.44,101.58,106.52,106.49,106.49
10496,75.87,69.84,66.32,101.41,105.06,104.06,104.17
10624,75.32,68.18,65.48,104.12,105.21,104.56,103.92
10752,77.6,66.76,65.38,101.46,102.68,100.74,101.44
10880,75.41,64.87,63.87,100.74,95.92,101.43,101.92
11008,73.18,65.49,62.68,100.71,101.66,100.24,100.56
11136,71.31,61.67,61.8,101.15,98.64,100.19,100.56
11264,71.81,63.92,62.87,96.96,97.78,95.13,96.96
11392,70.24,62.24,61.04,98.3,98.53,98.1,98.0
11520,70.33,61.19,58.29,96.33,96.72,96.19,94.38
11648,69.34,60.99,59.77,96.37,97.13,95.82,96.36
11776,67.68,60.59,59.77,94.7,94.76,94.22,91.0
11904,64.91,59.75,57.55,94.97,95.01,94.71,94.24
12032,64.99,59.13,57.72,90.86,93.17,93.45,91.28
12160,65.29,58.13,56.98,92.71,93.08,92.51,90.96
12288,62.71,56.03,53.76,89.91,89.72,82.58,89.57
12416,64.25,57.52,55.18,90.0,89.41,90.43,90.89
12544,59.66,56.17,54.64,89.99,89.99,89.04,89.14
12672,61.43,55.42,50.81,89.31,89.56,88.71,89.16
12800,63.52,55.48,54.33,87.11,87.48,87.02,86.66
12928,59.94,54.86,53.65,86.29,87.79,87.07,87.64
13056,60.18,51.92,52.5,85.83,86.3,86.16,86.17
13184,59.29,53.0,52.06,85.68,86.12,86.05,85.66
13312,59.28,52.84,51.73,83.21,83.29,83.9,82.36
13440,57.97,51.39,51.09,84.26,84.36,83.91,83.89
13568,56.45,51.33,50.46,82.58,83.01,82.03,82.15
13696,57.16,50.17,49.96,82.49,83.28,82.79,82.87
13824,55.0,50.66,49.14,81.9,81.3,80.62,81.04
13952,53.4,49.14,48.18,81.44,82.1,81.25,81.15
14080,55.22,48.4,47.01,80.72,80.65,80.61,80.37
14208,54.15,48.11,47.34,78.65,80.65,80.22,80.6
14336,53.83,46.39,47.91,76.07,78.38,77.21,77.75
14464,53.52,47.6,47.11,79.27,79.33,78.76,78.9
14592,53.11,46.87,44.54,77.5,77.68,77.37,77.75
14720,52.86,46.62,45.41,77.81,78.39,78.05,77.48
14848,52.89,46.0,45.2,75.72,74.28,75.52,75.61
14976,50.79,44.01,44.04,76.35,76.5,76.02,74.6
15104,50.69,44.53,43.74,75.31,75.3,74.94,75.16
15232,49.46,44.48,44.1,67.46,74.48,74.95,75.51
15360,49.7,43.74,43.16,73.19,73.55,73.14,73.15
15488,48.58,40.8,42.99,74.38,74.45,74.58,74.54
15616,49.1,41.85,41.81,73.82,73.38,72.93,70.72
15744,47.83,42.2,41.7,68.66,73.33,72.84,72.8
15872,48.22,41.53,41.56,71.28,69.99,71.99,71.35
16000,46.98,40.76,40.74,72.58,72.3,71.84,72.15
16128,46.57,39.74,40.23,70.68,71.16,70.62,70.5
16256,45.35,39.04,39.66,71.35,71.48,71.17,69.89
16384,43.26,39.38,38.5,70.28,69.81,69.19,69.83
