
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
-------------------------------------------------------------------------------------------------------------------
input_ids                                                                                                     0.008
__module.model.embed_tokens/ov_ext::embedding/Convert_1                                                       0.008
__module.model.embed_tokens/ov_ext::embedding/Gather                                                          0.101
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1                                                  0.129
Multiply_46287                                                                                                0.150
Clamp_46289                                                                                                   0.000
Convert_46290                                                                                                 0.093
Convert_46291                                                                                                 0.079
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1/fc_output_0                                      0.044
ShapeOf_31472                                                                                                 0.006
Gather_31475                                                                                                  0.004
Concat_50645                                                                                                  0.006
Broadcast_50648                                                                                               0.005
ReadValue_50269                                                                                               0.013
ReadValue_50207                                                                                               0.013
ReadValue_50209                                                                                               0.009
ReadValue_50211                                                                                               0.010
ReadValue_50213                                                                                               0.009
ReadValue_50239                                                                                               0.011
ReadValue_50241                                                                                               0.010
ReadValue_50243                                                                                               0.009
ReadValue_50245                                                                                               0.010
ReadValue_50247                                                                                               0.009
ReadValue_50249                                                                                               0.010
ReadValue_50251                                                                                               0.009
ReadValue_50253                                                                                               0.009
ReadValue_50255                                                                                               0.012
ReadValue_50257                                                                                               0.009
ReadValue_50259                                                                                               0.008
ReadValue_50261                                                                                               0.008
ReadValue_50263                                                                                               0.009
ReadValue_50265                                                                                               0.008
ReadValue_50267                                                                                               0.009
ReadValue_50237                                                                                               0.008
ReadValue_50215                                                                                               0.007
ReadValue_50217                                                                                               0.008
ReadValue_50219                                                                                               0.008
ReadValue_50221                                                                                               0.008
ReadValue_50223                                                                                               0.008
ReadValue_50225                                                                                               0.007
ReadValue_50227                                                                                               0.009
ReadValue_50229                                                                                               0.008
ReadValue_50231                                                                                               0.008
ReadValue_50233                                                                                               0.007
ReadValue_50235                                                                                               0.008
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul                                                2.046
__module.model.layers.0.self_attn/aten::view/Reshape                                                          0.008
__module.model.rotary_emb/prim::ListConstruct                                                                 0.010
Broadcast_38798                                                                                               0.010
__module.model.rotary_emb/aten::expand/Broadcast                                                              0.009
position_ids                                                                                                  0.007
Convert_37116                                                                                                 0.008
__module.model.rotary_emb/aten::unsqueeze/Unsqueeze_2                                                         0.004
__module.model.rotary_emb/aten::to/Convert_3                                                                  0.006
__module.model.rotary_emb/aten::matmul/MatMul                                                                 0.019
__module.model.rotary_emb/aten::transpose/Transpose                                                           0.012
__module.model.rotary_emb/aten::cat/Concat                                                                    0.009
__module.model.rotary_emb/aten::cos/Cos                                                                       0.026
