Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brgemm:avx10_1_512_amx,proj_q_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc2048nproj_q_a16,1.07374,1.5332,0.972412,1104.2,1.01735,1055.43
perf,cpu,brgemm:avx10_1_512_amx,proj_kv_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc512nproj_kv_a16,0.268435,2.30371,0.231201,1161.05,0.252426,1063.42
perf,cpu,brgemm:avx10_1_512_amx,score_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic64oc4096nscore_a16,0.0671089,0.83667,0.154785,433.561,0.158058,424.583
perf,cpu,brgemm:avx10_1_512_amx,attn_out_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic128oc2048nattn_out_a16,0.0671089,0.904053,0.0969238,692.388,0.100039,670.824
perf,cpu,brgemm:avx10_1_512_amx,proj_o_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc2048nproj_o_a16,1.07374,0.0134277,0.975342,1100.89,1.01955,1053.15
perf,cpu,brgemm:avx10_1_512_amx,ffn_up_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc8192nffn_up_a16,4.29497,1.20361,4.29541,999.897,4.35039,987.261
perf,cpu,brgemm:avx10_1_512_amx,ffn_gate_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc8192nffn_gate_a16,4.29497,0.0148926,4.25879,1008.49,4.33545,990.663
perf,cpu,brgemm:avx10_1_512_amx,ffn_down_a16,--mode=P --ip --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic8192oc2048nffn_down_a16,4.29497,1.4104,6.6167,649.11,7.21559,595.234
perf,cpu,brgemm:avx10_1_512_amx,proj_q_cold_wei_a16,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc2048nproj_q_cold_wei_a16,1.07374,0.0124512,1.0874,987.437,1.31102,819.011
perf,cpu,brgemm:avx10_1_512_amx,proj_kv_cold_wei_a16,--mode=P --ip --cold-cache=wei --dir=FWD_I --dt=bf16:bf16:bf16 mb128ic2048oc512nproj_kv_cold_wei_a16,0.268435,0.0180664,0.282471,950.313,0.329878,813.741
